date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:42:22	33136/33136	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:42:21%20GMT	http://localhost:8081/?paged=2&page_id=314	localhost_8081/index74f3.html	(from http://localhost:8081/?page_id=314)
03:42:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:42:22%20GMT	http://localhost:8081/?p=1625	localhost_8081/indexb74b.html	(from http://localhost:8081/?page_id=1625)
03:42:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:42:24%20GMT	http://localhost:8081/?p=368	localhost_8081/index5ee4.html	(from http://localhost:8081/?page_id=368)
03:42:26	2294/2294	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:42:23%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D368	localhost_8081/index06bc.json	(from http://localhost:8081/?page_id=368)
03:42:27	2429/2429	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:42:25%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D368&format=xml	localhost_8081/index5e11.php	(from http://localhost:8081/?page_id=368)
03:42:28	33640/33640	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:42:26%20GMT	http://localhost:8081/?paged=2&page_id=368	localhost_8081/index8717.html	(from http://localhost:8081/?page_id=368)
03:42:30	2211/2211	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:42:27%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1023	localhost_8081/indexf567.json	(from http://localhost:8081/?page_id=1023)
03:42:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:42:28%20GMT	http://localhost:8081/?p=1023	localhost_8081/indexf884.html	(from http://localhost:8081/?page_id=1023)
03:42:32	2308/2308	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:42:30%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D1023&format=xml	localhost_8081/indexcc09.php	(from http://localhost:8081/?page_id=1023)
03:42:45	411573/411573	---M--	200	added ('OK')	image/jpeg	etag:%22647b5-58795f9f31643%22	http://localhost:8081/wp-content/uploads/2016/12/15-2-2.jpg	localhost_8081/wp-content/uploads/2016/12/15-2-2.jpg	(from http://localhost:8081/?page_id=314)
03:43:03	472176/472176	---M--	200	added ('OK')	image/jpeg	etag:%2273470-58795f7616d5b%22	http://localhost:8081/wp-content/uploads/2017/02/30-2.jpg	localhost_8081/wp-content/uploads/2017/02/30-2.jpg	(from http://localhost:8081/?page_id=314)
03:43:06	2250/2250	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:43:03%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D825	localhost_8081/index7dd4.json	(from http://localhost:8081/?page_id=825)
03:43:08	2344/2344	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:43:06%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D825&format=xml	localhost_8081/indexc8c0.php	(from http://localhost:8081/?page_id=825)
